Descripción;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;Total
VOSKHOD;;;;;;;;;;;;;;;;1;;;1
WARRIOR;;;;;;;;;1;;;;;;;;;;1
WINDY;1;;;;;;;;;;;;;;;;;;1
XINGFU;;;;;;;;;1;;;;;;;;;;1
YADEA;;;;;;;;;;;;;;1;;;;;1
YONGKANG NEW FEIYAE;1;;;;;;;;;;;;;;;;;;1
ZANELLA CECCATO;;;;;;;;;;;;1;;;;;;;1
ZENITH;;;;;;;;;;;;1;;;;;;;1
ZUNDAPP;;;;;;;;;;1;;;;;;;;;1
TOTAL;28.007;30.226;36.046;32.706;35.269;32.271;35.126;36.782;37.732;32.701;35.244;29.539;35.566;30.567;41.630;35.061;37.161;21.008;602.642
